"ssn";"emp_fname";"emp_lname";"dname";"pname";"pnumber";"hours"
987987987;"Ahmad";"Jabbar";"Administration";"Computerization";10;35.0
987987987;"Ahmad";"Jabbar";"Administration";"Newbenefits";30;5.0
444444402;"Alec";"Best";"Hardware";"InkjetPrinters";91;40.0
1614905;"Alex";"Yu";"Software";"DataMining";13;18.0
444444400;"Alex";"Freed";"Hardware";"InkjetPrinters";91;40.0
999887777;"Alicia";"Zelaya";"Administration";"Newbenefits";30;30.0
999887777;"Alicia";"Zelaya";"Administration";"Computerization";10;10.0
614370310;"Andrea";"Sondrini";"Research";"ProductZ";3;45.0
222222202;"Andy";"Vile";"Hardware";"DatabaseSystems";62;40.0
666666608;"Arnold";"Head";"Sales";"DatabaseSystems";62;40.0
666666604;"Billie";"King";"Sales";"InkjetPrinters";91;40.0
666666600;"Bob";"Bender";"Sales";"";0;0.0
444444401;"Bonnie";"Bays";"Hardware";"InkjetPrinters";91;40.0
111111103;"Brad";"Knight";"Software";"OperatingSystem";61;40.0
111422203;"Cameron";"Thirteen";"Administration";"EntityAnnot";4;45.0
666666611;"Carl";"Reedy";"Sales";"OperatingSystem";61;40.0
222222205;"Chris";"Carter";"Hardware";"DatabaseSystems";62;40.0
241625699;"Christina";"Hisel";"Software";"OperatingSystem";61;4.0
432765098;"Cindy";"Burklow";"Software";"Middleware";63;25.0
202843824;"Debra";"Hall";"Software";"ConfigMgmt";11;20.0
242535609;"Erin";"Maxfield";"Sales";"Advertizing";70;20.0
242535609;"Erin";"Maxfield";"Sales";"DatabaseSystems";62;20.0
222222200;"Evan";"Wallis";"Hardware";"DatabaseSystems";62;40.0
333445555;"Franklin";"Wong";"Research";"ProductY";2;10.0
333445555;"Franklin";"Wong";"Research";"ProductZ";3;10.0
333445555;"Franklin";"Wong";"Research";"Computerization";10;10.0
333445555;"Franklin";"Wong";"Research";"Reorganization";20;10.0
666666607;"Gerald";"Small";"Sales";"OperatingSystem";61;40.0
444212096;"Gregory";"Laurie";"Hardware";"Middleware";63;25.0
666666609;"Helga";"Pataki";"Sales";"Middleware";63;40.0
245239264;"Jake";"Sheen";"Software";"ConfigMgmt";11;25.0
245239264;"Jake";"Sheen";"Software";"Computerization";10;25.0
906218888;"James";"Miller";"Research";"MotherBoard";29;15.0
888665555;"James";"Borg";"Headquarters";"Reorganization";20;5.0
111111100;"Jared";"James";"Software";"OperatingSystem";61;40.0
333333301;"Jeff";"Chase";"Software";"Middleware";63;46.0
223344667;"Jennifer";"Joy";"Sales";"Middleware";63;20.0
987654321;"Jennifer";"Wallace";"Administration";"Newbenefits";30;20.0
987654321;"Jennifer";"Wallace";"Administration";"Reorganization";20;15.0
222222204;"Jenny";"Vos";"Hardware";"DatabaseSystems";62;40.0
666666601;"Jill";"Jarvis";"HR";"InkjetPrinters";91;40.0
292740167;"Jisha";"Carpenter";"Headquarters";"ProductX";1;25.0
555555500;"John";"James";"Sales";"LaserPrinters";92;40.0
123456789;"John";"Smith";"Research";"ProductX";1;32.5
123456789;"John";"Smith";"Research";"ProductY";2;7.5
222333444;"John";"Ed";"Software";"InkjetPrinters";91;10.0
122344668;"Johny";"Smith";"HR";"ProductZ";3;10.0
122344668;"Johny";"Smith";"HR";"Reorganization";20;10.0
122344668;"Johny";"Smith";"HR";"Newbenefits";30;25.0
666666605;"Jon";"Kramer";"Sales";"LaserPrinters";92;40.0
111111101;"Jon";"Jones";"Software";"OperatingSystem";61;40.0
343434344;"Jose";"Barbara";"Software";"Middleware";63;40.0
913323708;"Joseph";"Kirkish";"Hardware";"LaserPrinters";92;33.0
222222201;"Josh";"Zell";"Hardware";"DatabaseSystems";62;48.0
453453453;"Joyce";"English";"Research";"ProductX";1;20.0
453453453;"Joyce";"English";"Research";"ProductY";2;20.0
112244668;"Juan";"Linda";"HR";"Human1";95;40.0
111111102;"Justin";"Mark";"Software";"OperatingSystem";61;40.0
666666602;"Kate";"King";"Sales";"";0;0.0
444222666;"Kim";"Ted";"HR";"DatabaseSystems";62;25.0
333333300;"Kim";"Grace";"Software";"Middleware";63;40.0
349273344;"Leonard";"Moody";"Hardware";"MotherBoard";29;15.0
101248268;"Lisa";"House";"Hardware";"MotherBoard";29;10.0
666666603;"Lyle";"Leslie";"Sales";"InkjetPrinters";91;40.0
